,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,1.832604673821349e-68
329,3.3612750622538246e-17
330,1.6850250090252063e-09
331,2.410022905934302e-06
332,0.00013030635246052375
333,0.0016493994075893518
334,0.009636114727409403
335,0.03547355923008584
336,0.09687921687775645
337,0.2156317623896813
338,0.41454173043267517
339,0.7148809666087439
340,1.1347322144599137
341,1.6882214666864326
342,2.3853995410926996
343,3.2325039361799597
344,4.232412986800868
345,5.385204599895356
346,6.688759429958627
347,8.139323275720281
348,9.731980790343263
349,11.461032162345791
350,13.320285708476328
351,15.303275331411644
352,17.403435982985247
353,19.614224851945767
354,21.929215489633474
355,24.34216495969718
356,26.847060843907126
357,29.438152596217712
358,32.10997086490372
359,34.857337581674436
360,37.67536952662027
361,40.55947517962613
362,43.505351014292216
363,46.50897209504673
364,49.56658395556572
365,52.674684791858944
366,55.830023060866466
367,59.02957829240899
368,62.2705498138742
369,65.5503444074138
370,68.86656121176443
371,72.21698277172055
372,75.59956068355216
373,79.01240623321696
374,82.45377315591094
375,85.92205717905964
376,89.41578002537621
377,92.93358197415245
378,96.47421329616427
379,100.03652617282226
380,103.61946712670142
381,107.22206983134353
382,110.84344840698735
383,114.48279187125192
384,118.13935510272825
385,121.81245801196968
386,125.50147753054354
387,129.2058444205601
388,132.92503433516742
389,136.65857240734272
390,140.40602425007725
391,144.16699542869753
392,147.9411262634219
393,151.72809380641908
394,155.52760735404544
395,159.33940670914853
396,163.16325686018703
397,166.9989527739
398,170.8463117322436
399,174.7051724129665
400,178.57539258536
401,182.45684691408033
402,186.34942471209342
403,190.25302757597117
404,194.16756680223358
405,198.09296126831816
406,202.02913260149805
407,205.97600553296076
408,209.9335033474282
409,213.90154456782847
410,217.88003886803224
411,221.86889008839097
412,225.86798950746234
413,229.87721576427356
414,233.89643432731032
415,237.92549567234792
416,241.96423650339548
417,246.01248065173516
418,250.07003736050643
419,254.13670061450438
420,258.2122548381487
421,262.2964707983368
422,266.3891074150553
423,270.48991218562776
424,274.59862152395243
425,278.714961197804
426,282.83864675141336
427,286.96938395147475
428,291.1068693825319
429,295.25079007413194
430,299.4008227623326
431,303.55663747683553
432,307.7178949297873
433,311.8842455282551
434,316.0553363677173
435,320.2308079630998
436,324.4102976466896
437,328.59344133221254
438,332.779874591016
439,336.9692387269184
440,341.16118057520873
441,345.35535217163255
442,349.55142051190984
443,353.7490644490889
444,357.9479784426395
445,362.1478746798863
446,366.3484850081838
447,370.54956264722017
448,374.7508837211741
449,378.9522484968017
450,383.153482705947
451,387.35443761015426
452,391.5549925903557
453,395.7550530856661
454,399.9545554998107
455,404.153460267297
456,408.3517630177054
457,412.54948874745685
458,416.7466949969411
459,420.94347363769896
460,425.1399525329429
461,429.3362970313007
462,433.53271498571456
463,437.7294592410363
464,441.9268254611406
465,446.1251674322822
466,450.32489470616605
467,454.5264807616077
468,458.7304703266998
469,462.9374880845315
470,467.14824920351026
471,471.3635721701295
